,oos_equity
2020-06-23,1032474.0295968273
2020-06-24,1032474.4705149487
2020-06-25,1032473.5234501672
2020-06-26,1032472.7960359168
2020-06-29,1032472.8087501584
2020-06-30,1032473.9031553176
2020-07-01,1032472.9298326854
2020-07-02,1032473.146374296
2020-07-06,1032472.9118374174
2020-07-07,1032474.0348889685
2020-07-08,1032473.1751439222
2020-07-09,1032474.0838985409
2020-07-10,1032473.1777196914
2020-07-13,1032473.7511288082
2020-07-14,1032474.8387450743
2020-07-15,1032476.0860102875
2020-07-16,1032476.0860102875
2020-07-17,1032476.0860102875
2020-07-20,1032476.0860102875
2020-07-21,1032476.0860102875
2020-07-22,1032476.0860102875
2020-07-23,1032476.0860102875
2020-07-24,1032476.0860102875
2020-07-27,1032476.0860102875
2020-07-28,1032476.0860102875
2020-07-29,1032476.0860102875
2020-07-30,1032476.0860102875
2020-07-31,1032476.0860102875
2020-08-03,1032476.0860102875
2020-08-04,1032476.0860102875
2020-08-05,1032476.0860102875
2020-08-06,1032476.0860102875
2020-08-07,1032476.0860102875
2020-08-10,1032476.0860102875
2020-08-11,1032476.0860102875
2020-08-12,1032476.0860102875
2020-08-13,1032476.0860102875
2020-08-14,1032476.0860102875
2020-08-17,1032476.0860102875
2020-08-18,1032476.0860102875
2020-08-19,1032476.0860102875
2020-08-20,1032476.0860102875
2020-08-21,1032476.0860102875
2020-08-24,1032476.0860102875
2020-08-25,1032476.0860102875
2020-08-26,1032476.0860102875
2020-08-27,1032476.0860102875
2020-08-28,1032476.0860102875
2020-08-31,1032476.0860102875
2020-09-01,1032476.0860102875
2020-09-02,1032476.0860102875
2020-09-03,1032476.0860102875
2020-09-04,1032476.0860102875
2020-09-08,1032476.0860102875
2020-09-09,1032476.0860102875
2020-09-10,1032476.0860102875
2020-09-11,1032476.0860102875
2020-09-14,1032476.0860102875
2020-09-15,1032476.0860102875
2020-09-16,1032476.0860102875
2020-09-17,1032476.0860102875
2020-09-18,1032476.0860102875
2020-09-21,1032476.0860102875
2020-09-22,1032476.0860102875
2020-09-23,1032476.0860102875
2020-09-24,1032476.0860102875
2020-09-25,1032476.0860102875
2020-09-28,1032476.0860102875
2020-09-29,1032476.0860102875
2020-09-30,1032476.0860102875
2020-10-01,1032476.0860102875
2020-10-02,1032476.0860102875
2020-10-05,1032476.0860102875
2020-10-06,1032476.0860102875
2020-10-07,1032476.0860102875
2020-10-08,1032476.0860102875
2020-10-09,1032476.0860102875
2020-10-12,1032476.0860102875
2020-10-13,1032476.0860102875
2020-10-14,1032476.0860102875
2020-10-15,1032476.0860102875
2020-10-16,1032476.0860102875
2020-10-19,1032476.0860102875
2020-10-20,1032476.0860102875
2020-10-21,1032476.0860102875
2020-10-22,1032476.0860102875
2020-10-23,1032476.0860102875
2020-10-26,1032476.0860102875
2020-10-27,1032476.0860102875
2020-10-28,1032476.0860102875
2020-10-29,1032476.0860102875
2020-10-30,1032476.0860102875
2020-11-02,1032476.0860102875
2020-11-03,1032476.0860102875
2020-11-04,1032476.0860102875
2020-11-05,1032476.0860102875
2020-11-06,1032476.0860102875
2020-11-09,1032476.0860102875
2020-11-10,1032476.0860102875
2020-11-11,1032476.0860102875
2020-11-12,1032476.0860102875
2020-11-13,1032476.0860102875
2020-11-16,1032476.0860102875
2020-11-17,1032476.0860102875
2020-11-18,1032476.0860102875
2020-11-19,1032476.0860102875
2020-11-20,1032476.0860102875
2020-11-23,1032476.0860102875
2020-11-24,1032476.0860102875
2020-11-25,1032476.0860102875
2020-11-27,1032476.0860102875
2020-11-30,1032476.0860102875
2020-12-01,1032476.0860102875
2020-12-02,1032476.0860102875
2020-12-03,1032476.0860102875
2020-12-04,1032476.0860102875
2020-12-07,1032476.0860102875
2020-12-08,1032476.0860102875
2020-12-09,1032476.0860102875
2020-12-10,1032476.0860102875
2020-12-11,1032476.0860102875
2020-12-14,1032476.0860102875
2020-12-15,1032476.0860102875
2020-12-16,1032476.0860102875
2020-12-17,1032476.0860102875
2020-12-18,1032476.0860102875
2020-12-21,1032476.0860102875
2020-12-22,1032476.0860102875
2020-12-23,1032476.0860102875
2020-12-24,1032476.0860102875
2020-12-28,1032476.0860102875
2020-12-29,1032476.0860102875
2020-12-30,1032476.0860102875
2020-12-31,1031588.7584042033
2021-01-04,1035244.1912523999
